courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
1,,,,,,Algorithms and Complexity,,,,,,,
1,1,,,,,Algorithmic Strategies,,Algorithmic Strategies,,Explain,,covers various approaches and techniques used to design and analyze algorithms,
1,1,1,,,,Approximation,,Algorithmic Strategies,,Explain,,"Algorithms that find solutions that are close to optimal, often used for NP-hard problems.",
1,1,2,,,,Backtracking,,Algorithmic Strategies,,Explain,,A systematic method for exploring all possible solutions to a problem by incrementally building candidates and backtracking when a dead-end is reached.,
1,1,3,,,,Branch and Bound ,,Algorithmic Strategies,,Explain,,A method for solving optimization problems by systematically exploring the search space and bounding the solution space based on specific criteria.,
1,1,4,,,,Brute-Force/Exhaustive Search,,Algorithmic Strategies,,Explain,,A straightforward approach that systematically examines all possible solutions to find the optimal one.,
1,1,5,,,,Consensus algorithms ,,Algorithmic Strategies,,Explain,,Algorithms used in distributed computing to achieve agreement among a group of participants despite some of them possibly failing or behaving maliciously.,
1,1,6,,,,Decrease-and-Conquer,,Algorithmic Strategies,,Explain,,"Algorithms that reduce a problem instance to a smaller instance of the same problem, solve the smaller instance, and then use the solution to solve the original problem.",
1,1,7,,,,Divide-and-Conquer,,Algorithmic Strategies,,Explain,,"A problem-solving technique that breaks a problem into smaller subproblems, solves the subproblems recursively, and then combines the solutions to solve the original problem.",
1,1,8,,,,Dynamic Programming,,Algorithmic Strategies,,Explain,,A method for solving optimization problems by breaking them down into simpler subproblems and storing the solutions to avoid redundant calculations.,
1,1,9,,,,Greedy,,Algorithmic Strategies,,Explain,,An algorithmic paradigm that makes locally optimal choices at each step with the hope of finding a global optimum solution.,
1,1,10,,,,Heuristic: A* ,,Algorithmic Strategies,,Explain,,A popular search algorithm that efficiently finds the shortest path in a graph from a given start node to a target node.,
1,1,11,,,,Iterative,,Algorithmic Strategies,,Explain,,Algorithms that repeatedly apply a set of instructions or steps until a specific condition is met.,
1,1,12,,,,Parallel ,,Algorithmic Strategies,,Explain,,"Algorithms designed to execute multiple computational tasks simultaneously, exploiting parallel processing capabilities for improved efficiency.",
1,1,13,,,,Randomized/Stochastic Algorithms,,Algorithmic Strategies,,Explain,,"Algorithms that incorporate randomness in their decision-making process to achieve certain goals, such as approximating solutions or finding better outcomes.",
1,1,14,,,,Recursive,,Algorithmic Strategies,,Explain,,Algorithms that solve problems by calling themselves with smaller input instances until a base case is reached.,
