courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
2,,,,,,Architecture and Organization,,,,,,,
2,1,,,,,Digital Logic and Digital Systems,,Digital Logic and Digital Systems,,,,,
2,1,1,,,,Overview and history of computer architecture,,Digital Logic and Digital Systems,,Explain,,,
2,1,2,,,,Combinational vs. sequential logic,,Digital Logic and Digital Systems,,Explain,,,
2,1,2,1,,,Fundamental combinational,,Digital Logic and Digital Systems,,Explain,,,
2,1,2,2,,,Sequential logic building block,,Digital Logic and Digital Systems,,Explain,,,
2,1,3,,,,Functional hardware and software multi‐layer architecture,,Digital Logic and Digital Systems,,Explain,,,
2,1,4,,,,Computer‐aided design tools that process hardware and architectural representations,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,5,,,,High‐level synthesis,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,5,1,,,Register transfer notation,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,5,2,,,Hardware description language,,Digital Logic and Digital Systems,,Evaluate,,e.g. Verilog/VHDL/Chisel,
2,1,6,,,,System‐on‐chip (SoC) design flow,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,7,,,,Physical constraints,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,7,1,,,Gate delays,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,7,2,,,Fan‐in and fan‐out,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,7,3,,,Energy/power,,Digital Logic and Digital Systems,,Evaluate,,,
2,1,7,4,,,Speed of light,,Digital Logic and Digital Systems,,Evaluate,,,
2,2,,,,,Machine-Level Data Representation,,Machine-Level Data Representation,,,,,
2,2,1,,,,"Bits, bytes, and words",,Machine-Level Data Representation,,Apply,,,
2,2,2,,,,Numeric data representation and number bases,,Machine-Level Data Representation,,Apply,,,
2,2,2,1,,,Fixed‐point,,Machine-Level Data Representation,,Apply,,,
2,2,2,2,,,Floating‐point,,Machine-Level Data Representation,,Apply,,,
2,2,3,,,,Signed and twos‐complement representations,,Machine-Level Data Representation,,Apply,,,
2,2,4,,,,Representation of non‐numeric data,,Machine-Level Data Representation,,Apply,,,
2,2,5,,,,Representation of records and arrays,,Machine-Level Data Representation,,Apply,,,
2,3,,,,,Assembly Level Machine Organization,,Assembly Level Machine Organization,,,,,
2,3,1,,,,von Neumann machine architecture,,Assembly Level Machine Organization,,Explain,,,
2,3,2,,,,"Control unit; instruction fetch, decode, and execution",,Assembly Level Machine Organization,,Explain,,,
2,3,3,,,,Introduction to SIMD vs. MIMD and the Flynn taxonomy,,Assembly Level Machine Organization,,Explain,,,
2,3,4,,,,Shared memory multiprocessors/multicore organization,,Assembly Level Machine Organization,,Explain,,,
2,3,5,,,,Instruction set architecture (ISA),,Assembly Level Machine Organization,,Develop,,"e.g. x86, ARM and RISC‐V",
2,3,5,1,,,Instruction formats,,Assembly Level Machine Organization,,Develop,,,
2,3,5,2,,,"Data manipulation, control, I/O",,Assembly Level Machine Organization,,Develop,,,
2,3,5,3,,,Addressing modes,,Assembly Level Machine Organization,,Develop,,,
2,3,5,4,,,Machine language programming,,Assembly Level Machine Organization,,Develop,,,
2,3,5,5,,,Assembly language programming,,Assembly Level Machine Organization,,Develop,,,
2,3,6,,,,Subroutine call and return mechanisms (xref PL/language translation and execution),,Assembly Level Machine Organization,,Develop,,,
2,3,7,,,,I/and interrupts ,,Assembly Level Machine Organization,,Develop,,,
2,3,8,,,,"Heap, static,  stack and code segments",,Assembly Level Machine Organization,,Develop,,,
2,4,,,,,Memory Hierarchy,,Memory Hierarchy,,,,,
2,4,1,,,,Memory hierarchy: the importance of temporal and spatial locality [Shared with OS],,Memory Hierarchy,,Explain,,,
2,4,2,,,,Main memory organization and operations,,Memory Hierarchy,,Explain,,,
2,4,3,,,,"Persistent memory (e.g. SSD, standard disks) [Shared with OS]",,Memory Hierarchy,,Explain,,,
2,4,4,,,,"Latency, cycle time, bandwidth and interleaving",,Memory Hierarchy,,Explain,,,
2,4,5,,,,"Virtual memory (hardware support, cross‐reference OS/Virtual Memory) [Shared with OS]",,Memory Hierarchy,,Explain,,,
2,4,6,,,,Fault handling and reliability [Shared with OS],,Memory Hierarchy,,Explain,,,
2,4,7,,,,Reliability (cross‐reference SF/Reliability through Redundancy),,Memory Hierarchy,,Explain,,,
2,4,7,1,,,Error coding,,Memory Hierarchy,,Explain,,,
2,4,7,2,,,Data compression,,Memory Hierarchy,,Explain,,,
2,4,7,3,,,Data integrity,,Memory Hierarchy,,Explain,,,
2,4,8,,,,Non‐von Neumann Architectures,,Memory Hierarchy,,Explain,,,
2,4,8,1,,,In‐Memory Processing (PIM),,Memory Hierarchy,,Explain,,,
2,4,9,,,,Cache memories [Shared with OS],,Memory Hierarchy,,Evaluate,,,
2,4,9,1,,,Address mapping,,Memory Hierarchy,,Evaluate,,,
2,4,9,2,,,Block size,,Memory Hierarchy,,Evaluate,,,
2,4,9,3,,,Replacement and store policy,,Memory Hierarchy,,Evaluate,,,
2,4,10,,,,Multiprocessor cache coherence,,Memory Hierarchy,,Evaluate,,,
2,5,,,,,Interfacing and Communication,,Interfacing and Communication,,Explain,,,
2,5,1,,,,I/fundamentals[Shared with OS and SPD],,Interfacing and Communication,,Explain,,,
2,5,1,1,,,Handshaking and buffering,,Interfacing and Communication,,Explain,,,
2,5,1,2,,,Programmed I/O,,Interfacing and Communication,,Explain,,,
