courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,,,,,,Artificial Intelligence (AI),,,-,,,,
3,1,,,,,Fundamental Issues,,Fundamental Issues,-,Explain,,,
3,1,1,,,,"Overview of AI problems, Examples of successful recent AI applications",,Fundamental Issues,-,Explain,,"AI problems encompass tasks like natural language processing, computer vision, and machine learning.",
3,1,2,,,,"Definitions of agents with examples (e.g., reactive, deliberative)",,Fundamental Issues,-,Explain,,Agents are autonomous entities that perceive their environment and act upon it to achieve goals.,
3,1,3,,,,What is intelligent behavior?,,Fundamental Issues,-,Explain,,"Intelligent behavior involves the ability to adapt to new situations, solve problems, learn from experience, and achieve goals effectively.",
3,1,3,1,,,The Turing test and its flaws,,Fundamental Issues,-,Explain,,"The Turing test is a measure of a machine's ability to exhibit human-like intelligence in conversation. Its flaws include the inability to assess all aspects of intelligence, such as creativity and emotional understanding, and the potential for deception by machines through narrow task-specific intelligence.",
3,1,3,2,,,Multimodal input and output,,Fundamental Issues,-,Explain,,"Multimodal input refers to the use of multiple sensory channels (e.g., text, speech, image) for interaction with AI systems. Multimodal output involves presenting information or responses through various modalities (e.g., text, speech, graphics) to enhance user experience and accessibility.",
3,1,3,3,,,Simulation of intelligent behavior,,Fundamental Issues,-,Explain,,"Simulation of intelligent behavior involves creating models or systems that mimic aspects of human intelligence, such as problem-solving, decision-making, and learning. I",
3,1,3,4,,,Rational versus non-rational reasoning,,Fundamental Issues,-,Explain,,"Rational reasoning involves making decisions that maximize expected utility or achieve predefined goals based on available information. Non-rational reasoning may involve heuristics, biases, or instinctive behaviors that do not always lead to optimal outcomes, as observed in human decision-making.",
3,1,4,,,,Problem characteristics,,Fundamental Issues,-,Evaluate,,,
3,1,4,1,,,Fully versus partially observable,,Fundamental Issues,-,Evaluate,,"Fully observable problems are those where all relevant information about the current state is available to the agent. Partially observable problems are those where only a limited amount of information is available, making it necessary for the agent to maintain beliefs about the state based on available observations.",
3,1,4,2,,,Single versus multi-agent,,Fundamental Issues,-,Evaluate,,"Single-agent problems involve a single autonomous entity making decisions in an environment. Multi-agent problems involve multiple autonomous entities interacting with each other and the environment, often with conflicting goals or cooperative behavior.",
3,1,4,3,,,Deterministic versus stochastic,,Fundamental Issues,-,Evaluate,,"Deterministic problems have outcomes that are entirely determined by the initial state and the actions taken. Stochastic problems involve uncertainty or randomness in the outcomes, where the same action in the same state may lead to different outcomes.",
3,1,4,4,,,Static versus dynamic,,Fundamental Issues,-,Evaluate,,"Static problems have fixed environments where the state does not change while the agent is deliberating. Dynamic problems involve environments that change over time, requiring the agent to continuously adapt its decisions in response to these changes.",
3,1,4,5,,,Discrete versus continuous,,Fundamental Issues,-,Evaluate,,"Discrete problems have a finite or countably infinite set of possible states, actions, or outcomes. Continuous problems involve an infinite set of possible states, actions, or outcomes, often requiring numerical methods for representation and solution.",
3,1,5,,,,Nature of agents,,Fundamental Issues,-,Evaluate,,,
3,1,5,1,,,"Autonomous, semi-autonomous, mixed-initiative autonomy",,Fundamental Issues,-,Evaluate,,,
3,1,5,2,,,"Reflexive, goal-based, and utillity-based",,Fundamental Issues,-,Evaluate,,,
3,1,5,3,,,Decision making under uncertainty and with incomplete information,,Fundamental Issues,-,Evaluate,,,
3,1,5,4,,,The importance of perception and environmental interactions,,Fundamental Issues,-,Evaluate,,,
3,1,5,5,,,Learning-based agents,,Fundamental Issues,-,Evaluate,,,
3,1,5,6,,,Embodied agents,,Fundamental Issues,-,Evaluate,,"sensors, dynamics, effectors",
3,1,6,,,,"AI Applications, growth, and Impact (economic, societal, ethics) ",,Fundamental Issues,-,Explain,,,
3,1,7,,,,Additional depth on problem characteristics with examples,,Fundamental Issues,-,Evaluate,,,
3,1,8,,,,Additional depth on nature of agents with examples,,Fundamental Issues,-,Evaluate,,,
3,1,9,,,,"Additional depth on AI Applications, growth, and Impact (economic, societal, ethics)",,Fundamental Issues,-,Evaluate,,,
3,2,,,,,Search,,Search,-,,,,
3,2,1,,,,State space representation of a problem,,Search,-,Explain,,,
3,2,1,1,,,"Specifying states, goals, and operators",,Search,-,Explain,,,
3,2,1,2,,,Factoring states intrepresentations (hypothesis spaces),,Search,-,Explain,,,
3,2,1,3,,,Problem solving by graph search,,Search,-,Explain,,"e.g., Graphs as a space, and tree traversals as exploration of that space; Dynamic construction of the graph",
3,2,2,,,,Uninformed graph search for problem solving,,Search,-,Develop,,,
3,2,2,1,,,Breadth-first search,,Search,-,Develop,,,
3,2,2,2,,,Depth-first search,,Search,-,Develop,,With iterative deepening,
3,2,2,3,,,Uniform cost search,,Search,-,Develop,,,
3,2,3,,,,Heuristic graph search for problem solving,,Search,-,Develop,,,
3,2,3,1,,,Heuristic construction and admissibility ,,Search,-,Develop,,,
3,2,3,2,,,Hill-climbing,,Search,-,Develop,,,
3,2,3,3,,,Local minima and the search landscape,,Search,-,Develop,,Local vs global solutions,
3,2,3,4,,,Greedy best-first search,,Search,-,Develop,,,
3,2,3,5,,,A* search,,Search,-,Develop,,,
3,2,4,,,,Space and time complexities of graph search algorithms,,Search,-,Evaluate,,,
3,2,5,,,,Bidirectional search,,Search,-,Develop,,,
3,2,6,,,,Beam search,,Search,-,Develop,,,
3,2,7,,,,Two-player adversarial games,,Search,-,Develop,,,
3,2,7,1,,,Minimax search,,Search,-,Develop,,,
3,2,7,2,,,Alpha-beta pruning,,Search,-,Develop,,Ply cutoff,
3,2,8,,,,Implementation of A* search,,Search,-,Develop,,,
3,3,,,,,Fundamental Knowledge Representation and Reasoning,,Fundamental Knowledge Representation and Reasoning,-,,,,
3,3,1,,,,Types of representations,,Fundamental Knowledge Representation and Reasoning,-,Explain,,,
3,3,1,1,,,"Symbolic, logical",,Fundamental Knowledge Representation and Reasoning,-,Explain,,Creating a representation from a natural language problem statement,
3,3,1,2,,,Learned subsymbolic representations,,Fundamental Knowledge Representation and Reasoning,-,Explain,,,
3,3,1,3,,,Graphical models ,,Fundamental Knowledge Representation and Reasoning,-,Explain,,"e.g., naive Bayes, Bayes net",
3,3,2,,,,"Review of probabilistic reasoning, Bayes theorem",,Fundamental Knowledge Representation and Reasoning,-,Explain,,,
3,3,3,,,,Bayesian reasoning,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,3,1,,,Bayesian inference,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,4,,,,Random variables and probability distributions,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,4,1,,,Axioms of probability,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,4,2,,,Probabilistic inference,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,4,3,,,Bayes’ Rule (derivation),,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,4,4,,,Bayesian inference (more complex examples),,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,5,,,,Independence,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,6,,,,Conditional Independence,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,3,7,,,,Utility and decision making,,Fundamental Knowledge Representation and Reasoning,-,Apply,,,
3,4,,,,,Machine Learning,,Machine Learning,-,Apply,,,
3,4,1,,,,Definition and examples of a broad variety of machine learning tasks,,Machine Learning,-,Apply,,,
3,4,1,1,,,Supervised learning,,Machine Learning,-,Apply,,"Classification, Regression",
3,4,1,2,,,Reinforcement learning,,Machine Learning,-,Apply,,,
3,4,1,3,,,Unsupervised learning,,Machine Learning,-,Apply,,Clustering,
3,4,2,,,,Fundamental ideas,,Machine Learning,-,Apply,,nfree lunch; undecidability; sources of error in machine learning,
3,4,3,,,,"Simple statistical-based supervised learning such as Naive Bayes, Decision trees",,Machine Learning,-,Apply,,,
3,4,4,,,,"The overfitting problem and controlling solution complexity (regularization, pruning – intuition only)",,Machine Learning,-,Apply,,,
3,4,4,1,,,The bias (underfitting) - variance (overfitting) tradeoff,,Machine Learning,-,Apply,,,
3,4,5,,,,Working with Data,,Machine Learning,-,Apply,,,
3,4,5,1,,,Data preprocessing,,Machine Learning,-,Apply,,Importance and pitfalls of,
3,4,5,2,,,"Handling missing values (imputing,flag-as-missing)",,Machine Learning,-,Apply,,Implications of imputing vs flag-as-missing,
3,4,5,3,,,"Encoding categorical variables, encoding real-valued data",,Machine Learning,-,Apply,,,
3,4,5,4,,,Normalization/standardization,,Machine Learning,-,Apply,,,
3,4,5,5,,,"Emphasis on real data, not textbook examples",,Machine Learning,-,Apply,,,
3,4,6,,,,Representations,,Machine Learning,-,Apply,,,
3,4,6,1,,,Hypothesis spaces and complexity,,Machine Learning,-,Apply,,,
3,4,6,2,,,"Simple basis feature expansion, such as squaring univariate features",,Machine Learning,-,Apply,,,
3,4,6,3,,,Learned feature representations,,Machine Learning,-,Apply,,,
3,4,7,,,,Machine learning evaluation,,Machine Learning,-,Apply,,,
3,4,7,1,,,"Separation of train, validation, and test sets",,Machine Learning,-,Apply,,,
3,4,7,2,,,Performance metrics for classifiers,,Machine Learning,-,Apply,,,
3,4,7,3,,,Estimation of test performance on held-out data,,Machine Learning,-,Apply,,,
3,4,7,4,,,Tuning the parameters of a machine learning model with a validation set,,Machine Learning,-,Apply,,,
3,4,7,5,,,"Importance of understanding what your model is actually doing, where its pitfalls/shortcomings are, and the implications of its decisions",,Machine Learning,-,Apply,,,
3,4,8,,,,Basic neural networks,,Machine Learning,-,Apply,,,
3,4,8,1,,,"Fundamentals of understanding how neural networks work and their training process, without details of the calculations",,Machine Learning,-,Apply,,,
3,4,9,,,,Ethics for Machine Learning,,Machine Learning,-,Apply,,,
3,4,9,1,,,"Focus on real data, real scenarios, and case studies.",,Machine Learning,-,Apply,,,
3,4,9,2,,,Dataset/algorithmic/evaluation bias,,Machine Learning,-,Apply,,,
3,4,10,,,,"Formulation of simple machine learning as an optimization problem, such as least squares linear regression or logistic regression",,Machine Learning,-,Apply,,,
3,4,10,1,,,Objective function,,Machine Learning,-,Apply,,,
3,4,10,2,,,Gradient descent,,Machine Learning,-,Apply,,,
3,4,10,3,,,Regularization tavoid overfitting (mathematical formulation),,Machine Learning,-,Apply,,,
3,4,11,,,,Ensembles of models,,Machine Learning,-,Apply,,,
3,4,11,1,,,Simple weighted majority combination,,Machine Learning,-,Apply,,,
3,4,12,,,,Deep learning,,Machine Learning,-,Apply,,,
3,4,12,1,,,"Deep feed-forward networks (intuition only, nmath)",,Machine Learning,-,Apply,,,
3,4,12,2,,,"Convolutional neural networks (intuition only, nmath)",,Machine Learning,-,Apply,,,
3,4,12,3,,,Visualization of learned feature representations from deep nets,,Machine Learning,-,Apply,,,
3,4,13,,,,Performance evaluation,,Machine Learning,-,Apply,,,
3,4,13,1,,,Other metrics for classification ,,Machine Learning,-,Apply,,"e.g.,error, precision, recall",
3,4,13,2,,,Performance metrics for regressors,,Machine Learning,-,Apply,,,
3,4,13,3,,,Confusion matrix,,Machine Learning,-,Apply,,,
3,4,13,4,,,Cross-validation,,Machine Learning,-,Apply,,"Parameter tuning (grid/random search, via cross-validation)",
3,4,14,,,,Overview of reinforcement learning,,Machine Learning,-,Apply,,,
3,4,15,,,,Twor more applications of machine learning algorithms,,Machine Learning,-,Apply,,"E.g., medicine and health, economics, vision, natural language, robotics, game play",
3,4,16,,,,Ethics for Machine Learning,,Machine Learning,-,Explain,,"Continued focus on real data, real scenarios, and case studies; Privacy; Fairness",
3,5,,,,,Applications and Societal Impact,,Applications and Societal Impact,-,Explain,,,
3,5,1,,,,"Applications of AI ta broad set of problems and diverse fields, such as medicine, health, sustainability, social media, economics, education, robotics, etc. ",,Applications and Societal Impact,-,Explain,,,
3,5,1,1,,,Formulating and evaluating a specific application as an AI problem,,Applications and Societal Impact,-,Explain,,,
3,5,1,2,,,Data availability and cleanliness,,Applications and Societal Impact,-,Explain,,"Basic data cleaning and preprocessing, Data set bias",
3,5,1,3,,,Algorithmic bias,,Applications and Societal Impact,-,Explain,,,
3,5,1,4,,,Evaluation bias,,Applications and Societal Impact,-,Explain,,,
3,5,2,,,,Deployed deep generative models,,Applications and Societal Impact,-,Explain,,,
3,5,2,1,,,High-level overview of deep image generative models,,Applications and Societal Impact,-,Explain,,"(e.g. as of 2023, DALL-E, Midjourney, Stable Diffusion, etc.), how they work, their uses, and their shortcomings/pitfalls.",
3,5,2,2,,,High-level overview of large language models,,Applications and Societal Impact,-,Explain,,"(e.g. as of 2023, ChatGPT, Bard, etc.), how they work, their uses, and their shortcomings/pitfalls.",
3,5,3,,,,Societal impact of AI,,Applications and Societal Impact,-,Explain,,"Ethics, Fairness, Trust/explainability",
