courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
4,,,,,,Data Management,,,,,,,
4,1,,,,,The Role of Data,,Core Database Systems Concepts,,Evaluate ,,,
4,1,1,,,,The Data Life Cycle,,Core Database Systems Concepts,,Evaluate,,Creation‐Processing‐Review/Reporting‐Retention/Retrieval‐Destruction,
4,1,2,,,,The social/legal aspects of data collections: ,,Core Database Systems Concepts,,Evaluate,,scale; data privacy; database privacy (compliance) by design; anonymity; ownership; reliability; intended and unintended applications ,
4,2,,,,,Core Database Systems Concepts,,Core Database Systems Concepts,,,,,
4,2,1,,,,Purpose and advantages of database systems,,Core Database Systems Concepts,,Explain,,,
4,2,2,,,,Components of database systems,,Core Database Systems Concepts,,Explain,,Data; Database Management System (DBMS); Users; Hardware; Software;,
4,2,3,,,,Design of core DBMS functions,,Core Database Systems Concepts,,Explain,,"e.g., query mechanisms, transaction management, buffer management, access methods",
4,2,4,,,,"Database architecture, data independence, and data abstraction",,Core Database Systems Concepts,,Explain,,,
4,2,5,,,,Transaction Management,,Core Database Systems Concepts,,Explain,,Transactions are units of work performed on the database.,
4,2,6,,,,Normalization,,Core Database Systems Concepts,,Explain,,Normalization is the process of organizing data in a database to reduce redundancy and dependency.,
4,2,7,,,,Approaches for managing large volumes of data,,Core Database Systems Concepts,,Explain,,"e.g., noSQL database systems, use of MapReduce",
4,2,8,,,,Distributed databases/cloud‐based systems,,Core Database Systems Concepts,,Explain,,,
4,2,9,,,,"Structured, semi‐structured, and unstructured databases",,Core Database Systems Concepts,,Explain,,,
4,2,10,,,,Use of a declarative query language,,Core Database Systems Concepts,,Develop,,,
4,2,11,,,,Systems supporting structured and/or stream content,,Core Database Systems Concepts,,Explain,,,
4,3,,,,,Data Modeling,,Data Modeling,,,,,
4,3,1,,,,Data modeling,,Data Modeling,,Develop,,Data modeling is the process of defining the structure of a database to represent the data and its relationships in a meaningful way.,
4,3,2,,,,Relational data models,,Data Modeling,,Develop,,Relational data models organize data into tables (relations) consisting of rows (tuples) and columns (attributes).,
4,3,3,,,,"Conceptual models (e.g., entity‐ relationship, UML diagrams)",,Data Modeling,,Explain,,"e.g., entity‐ relationship, UML diagrams",
4,3,4,,,,Semi‐structured data model,,Data Modeling,,Explain,,"expressed using DTD, XML, or JSON Schema, for example",
