courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
5,,,,,,Foundations of Programming Languages,,,,Develop,,,
5,1,,,,,Object-Oriented Programming,,Object-Oriented Programming,,Develop,,Object-oriented programming (OOP) is a programming paradigm that organizes software design around objects and their interactions.,
5,1,1,,,,Object-oriented design,,Object-Oriented Programming,,Develop,,Object-oriented design is a software design paradigm that focuses on modeling real-world entities as objects,
5,1,1,1,,,Decomposition into bjects carrying state and having behavior,,Object-Oriented Programming,,Develop,,,
5,1,1,2,,,Class-hierarchy design for modeling,,Object-Oriented Programming,,Develop,,,
5,1,2,,,,Definition of classes,,Object-Oriented Programming,,Develop,,"fields, methods, and constructors",
5,1,3,,,,"Subclasses, inheritance (including multiple inheritance), and method overriding",,Object-Oriented Programming,,Develop,,,
5,1,4,,,,Dynamic dispatch,,Object-Oriented Programming,,Develop,,definition of method-call,
5,1,5,,,,Exception handling,,Object-Oriented Programming,,Develop,,Exception handling is a mechanism used to manage and respond to exceptional conditions or errors that occur during program execution.,
5,1,6,,,,Object-oriented idioms for encapsulation,,Object-Oriented Programming,,Develop,,,
5,1,6,1,,,"Privacy, data hiding, and visibility of class members",,Object-Oriented Programming,,Develop,,,
5,1,6,2,,,Interfaces revealing only method signatures,,Object-Oriented Programming,,Develop,,,
5,1,6,3,,,"Abstract base classes, traits and mixins",,Object-Oriented Programming,,Develop,,,
5,1,7,,,,Dynamic vs static properties,,Object-Oriented Programming,,Develop,,,
5,1,8,,,,Composition vs inheritance,,Object-Oriented Programming,,Develop,,,
5,1,9,,,,Subtyping,,Object-Oriented Programming,,Develop,,a subtype is a type that is related to another type (called the supertype) by some form of specialization or refinement.,
5,1,9,1,,,Subtype polymorphism; implicit upcasts in typed languages,,Object-Oriented Programming,,Develop,,,
5,1,9,2,,,Notion of behavioral replacement: subtypes acting like supertypes,,Object-Oriented Programming,,Develop,,,
5,1,9,3,,,Relationship between subtyping and inheritance,,Object-Oriented Programming,,Develop,,,
5,1,9,4,,,"Collection classes, iterators, and other common library components",,Object-Oriented Programming,,Develop,,,
5,2,,,,,Functional Programming,,Functional Programming,,Develop,,Functional programming is a programming paradigm that treats computation as the evaluation of mathematical functions and avoids changing-state and mutable data.,
5,2,1,,,,Lambda expressions and evaluation,,Functional Programming,,Develop,,,
5,2,1,1,,,Variable binding and scope rules,,Functional Programming,,Develop,,,
5,2,1,2,,,Parameter passing,,Functional Programming,,Develop,,,
5,2,1,3,,,Nested lambda expressions and reduction order,,Functional Programming,,Develop,,,
5,2,2,,,,Effect-free programming,,Functional Programming,,Develop,,,
5,2,2,1,,,"Function calls have nside effects, facilitating compositional reasoning",,Functional Programming,,Develop,,,
5,2,2,2,,,Immutable variables and data copying vs. reduction,,Functional Programming,,Develop,,,
5,2,2,3,,,Use of recursion vs. loops vs. pipelining (map/reduce),,Functional Programming,,Develop,,,
5,2,3,,,,"Processing structured data (e.g., trees) via functions with cases for each data variant",,Functional Programming,,Develop,,,
5,2,3,1,,,Functions defined over compound data in terms of functions applied tthe constituent pleces,,Functional Programming,,Develop,,,
5,2,3,2,,,Persistent data structures,,Functional Programming,,Develop,,,
5,2,4,,,,Using higher-order functions,,Functional Programming,,Develop,,"taking, returning, and storing functions",
5,2,5,,,,Function closures,,Functional Programming,,Explain,,functions using variables in the enclosing lexical environment,
5,2,5,1,,,Basic meaning and definition,,Functional Programming,,Explain,,creating closures at run-time by capturing the environment,
5,2,5,2,,,Canonical idioms,,Functional Programming,,Explain,,"call-backs, arguments titerators, reusable code via function arguments",
5,2,5,3,,,Using a closure tencapsulate data in its environment,,Functional Programming,,Explain,,,
5,2,5,4,,,Lazy versus eager evaluation,,Functional Programming,,Explain,,,
5,2,6,,,,Defining and implementing functions ,,Functional Programming,,Explain,,"Defining and implementing functions that can accept a function as a parameter, be combined with another function, or return a function.",
5,3,,,,,Logic Programming,,Logic Programming,,,,"Logic programming is a programming paradigm based on formal logic, where programs are expressed as sets of logical statements or rules that define relationships and constraints between objects. ",
5,3,1,,,,Universal vs.existential quantifiers,,Logic Programming,,Explain,,,
5,3,2,,,,First order predicate logic vs. higher order logic,,Logic Programming,,Explain,,,
5,3,3,,,,Expressing complex relations using logical connectives and simpler relations,,Logic Programming,,Explain,,,
5,3,4,,,,"Definitions of Horn clause, facts, goals, and subgoals",,Logic Programming,,Explain,,,
5,3,5,,,,Unification and unification algorithm; unification vs. assertion vs expression evaluation,,Logic Programming,,Explain,,,
5,3,6,,,,Mixing relations with functions,,Logic Programming,,Explain,,,
5,3,7,,,,"Cuts, backtracking and non-determinism",,Logic Programming,,Explain,,,
5,3,8,,,,Closed-world vs. open-world assumptions,,Logic Programming,,Explain,,,
5,4,,,,,Scripting,,Scripting,,,,Scripting involves writing scripts or programs that automate tasks by executing a series of commands or instructions in a particular scripting language. ,
5,4,1,,,,"Divide, combine, conquer",,Scripting,,Develop,,"involves breaking down a problem into smaller, more manageable subproblems, solving each subproblem independently, and then combining the solutions to obtain the final result.",
5,4,2,,,,Fork,,Scripting,,Develop,,"""fork"" refers to the creation of a new process (child process) from an existing process (parent process). ",
5,4,3,,,,Error/exception handling,,Scripting,,Develop,,"Error handling involves detecting, reporting, and responding to errors or exceptional conditions that occur during program execution. ",
5,4,4,,,,I/redirection,,Scripting,,Develop,,I/O redirection is a feature that allows the input and output streams of a program to be redirected from their default sources or destinations to other sources or destinations. ,
