courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
6,,,,,,Graphics and Interactive Techniques,,,,,,,
6,1,,,,,Fundamental Concepts,,Fundamental Concepts,,,,,
6,1,1,,,,"Entertainment, business, and scientific applications",,Fundamental Concepts,,Explain,,"examples include visual effects, machine learning, computer vision, user interfaces, videediting, games and game engines, computer-aided design and manufacturing, data visualization, and virtual/augmented/mixed reality.",
6,1,2,,,,Human vision system,,Fundamental Concepts,,Explain,,"1, tristimulus reception (RGB); 2, eye-as-camera (projection); 3, persistence of vision (frame rate/motion blur); 4, contrast (detection/Mach banding/dithering/aliasing); 5, non-linear response (tone mapping); 6, binocular vision (stereo); 7, accessibility (color deficiency, strobing, monocular vision etc.);",
6,1,3,,,,Digitization of analog data,,Fundamental Concepts,,Explain,,,
6,1,3,1,,,rasterization vs vector representations,,Fundamental Concepts,,Explain,,example: polygon vs volume vs actual object,
6,1,3,2,,,resolution,,Fundamental Concepts,,Explain,,"1, pixels for visual display. 2, dots for laser printers",
6,1,3,3,,,sampling and quantization,,Fundamental Concepts,,Explain,,,
6,1,4,,,,Standard media formats,,Fundamental Concepts,,Explain,,,
6,1,4,1,,,raster,,Fundamental Concepts,,Explain,,"1, lossless. 2, lossy",
6,1,4,2,,,vector,,Fundamental Concepts,,Explain,,,
6,1,5,,,,Color models,,Fundamental Concepts,,Explain,,"additive (RGB), subtractive (CMYK) and color perception (HSV)",
6,1,6,,,,Tradeoffs between storing data and re-computing data as embodied by vector and raster representations of images,,Fundamental Concepts,,Explain,,,
6,1,7,,,,Animation as a sequence of stillimages,,Fundamental Concepts,,Explain,,,
6,1,8,,,,SEP issues,,Fundamental Concepts,,Explain,,"deep fakes, facial recognition, privacy, intellectual property",
6,2,,,,,Visualization,,Visualization,,Explain,,,
6,2,1,,,,Data Visualization and Information Visualization,,Visualization,,Explain,,,
6,2,2,,,,Visualization of,,Visualization,,Explain,,"1, 2D/3D scalar fields. 2, Vector fields and flow data. 3, Time-varying data. 4, High-dimensional data. 5, Non-spatial data",
6,2,3,,,,Visualization techniques,,Visualization,,Explain,,"color mapping, isosurfaces, dimension reduction, parallel coordinates, multi-variate, tree/graph structured, text",
6,2,4,,,,Direct volume data rendering,,Visualization,,Explain,,"ray-casting, transfer functions, segmentation.",
6,2,5,,,,Common data formats,,Visualization,,Explain,,"HDF, netCDF, geotiff, raw binary, CSV, ASCIl tparse, etc.",
6,2,6,,,,Common Visualization software and libraries,,Visualization,,Explain,,"R, Processing, D3.js, GIS, Matlab, IDL, Python, etc.",
6,2,7,,,,Perceptual and cognitive foundations that drive visual abstractions.,,Visualization,,Explain,,"1, Visual communication. 2, Color theory",
6,2,8,,,,Visualization design.,,Visualization,,Explain,,,
6,2,8,1,,,"Purpose (discovery, outreach).",,Visualization,,Explain,,,
6,2,8,2,,,"Audience (technical, general public).",,Visualization,,Explain,,,
6,2,8,3,,,Ethically responsible visualization,,Visualization,,Explain,,"1, Avoid misleading visualizations (exaggeration, hole filling, smoothing, data cleanup). 2, Even corect data can be misleading - eg, allasing, incorrectly moving or stopped fan blades.",
6,2,9,,,,Evaluation of visualization methods and applications.,,Visualization,,Explain,,,
6,2,10,,,,Visualization Bias,,Visualization,,Explain,,,
6,2,11,,,,Applications of visualization.,,Visualization,,Explain,,,
6,3,,,,,Basic Rendering,,Basic Rendering,,Explain,,encompasses the fundamental concepts and techniques used to create visual representations of 3D scenes in computer graphics,
6,3,1,,,,Graphics pipeline.,,Basic Rendering,,Explain,,"is the sequence of stages through which 3D geometry is transformed, shaded, and rasterized to produce the final image on the screen",
6,3,2,,,,Rendering in nature,,Basic Rendering,,Explain,,e.g. the emission and scattering of light and its relation tnumerical integration.,
6,3,3,,,,Forward and backward rendering,,Basic Rendering,,Explain,,"i.e., ray-casting and rasterization",
6,3,4,,,,Polygonal representation.,,Basic Rendering,,Explain,,"Polygonal meshes composed of vertices, edges, and faces are commonly used to represent 3D objects in computer graphics due to their simplicity and efficiency.",
6,3,5,,,,"Basic radiometry, similar triangles, and projection model.",,Basic Rendering,,Explain,,,
