courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
13,,,,,,"Society, Ethics and Professionalism",,,-,,,,
13,1,,,,,Social Context,,Social Context,-,,,,
13,1,1,,,,Social implications of computing in a hyper‐networked world where the capabilities of artificial intelligence are rapidly evolving,,Social Context,-,Evaluate,,,
13,1,2,,,,"Impact of social media and artificial intelligence on individual well‐being, political ideology, and cultural ideology ",,Social Context,-,Evaluate,,,
13,1,3,,,,Impact of involving computing technologies,,Social Context,-,Evaluate,,"particularly artificial intelligence, biometric technologies and algorithmic decision‐making systems, in civic life (e.g. facial recognition technology, biometric tags, resource distribution algorithms, policing software)",
13,1,4,,,,"Growth and control of the internet, computing,  and artificial intelligence",,Social Context,-,Explain,,,
13,1,5,,,,"Often referred tas the digital divide, differences in access tdigital technology resources",,Social Context,-,Explain,,"its resulting ramifications for gender, class, ethnicity, geography, and/or developing nations ",
13,1,6,,,,"Accessibility issues, including legal requirements and dark patterns",,Social Context,-,Explain,,,
13,1,7,,,,Context‐aware computing ,,Social Context,-,Explain,,involves systems or applications that can automatically adapt their behavior based on the user's context,
13,2,,,,,Methods for Ethical Analysis,,Methods for Ethical Analysis,-,,,,
13,2,1,,,,Avoiding fallacies and misrepresentation in argumentation,,Methods for Ethical Analysis,-,Apply,,,
13,2,2,,,,Ethical theories and decision‐making,,Methods for Ethical Analysis,-,Apply,,(philosophical and social frameworks and epistemologies),
13,2,3,,,,"Recognition of the role culture plays in our understanding, adoption, design, and use of computing technology ",,Methods for Ethical Analysis,-,Apply,,,
13,2,4,,,,Professional checklists ,,Methods for Ethical Analysis,-,Develop,,"are structured lists of tasks, steps, or criteria used to ensure completeness, accuracy, and consistency in professional activities or processes.",
13,2,5,,,,Evaluation rubrics,,Methods for Ethical Analysis,-,Develop,,"are scoring guides or criteria used to assess the quality, performance, or effectiveness of a product, service, or process, often used in education, performance reviews, or project evaluations.",
13,2,6,,,,Stakeholder analysis,,Methods for Ethical Analysis,-,Develop,,"involves identifying, assessing, and prioritizing stakeholders involved in a project or decision-making process to understand their interests, needs, and influence.",
13,2,7,,,,Standpoint theory,,Methods for Ethical Analysis,-,Develop,,"explores how an individual's social position or perspective influences their understanding, interpretation, and interaction with the world",
13,3,,,,,Professional Ethics,,Professional Ethics,-,,,,
13,3,1,,,,Community values and the laws by which we live,,Professional Ethics,-,Evaluate,,,
13,3,2,,,,The nature of professionalism,,Professional Ethics,-,Evaluate,,"including care, attention and discipline, fiduciary responsibility, and mentoring",
13,3,3,,,,Keeping up‐to‐date as a computing professional,,Professional Ethics,-,Evaluate,,"in terms of familiarity, tools, skills, legal and professional frameworks as well as the ability tself‐assess and progress in the computing field ",
13,3,4,,,,"Professional certification, codes of ethics, conduct, and practice",,Professional Ethics,-,Evaluate,,"such as the ACM/IEEE‐CS, SE, AITP, IFIP and international societies",
13,3,5,,,,"Accountability, responsibility and liability",,Professional Ethics,-,Evaluate,,"(e.g. software correctness, reliability and safety, as well as ethical confidentiality of cybersecurity professionals) ",
