courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
15,,,,,,Software Engineering,,,,,,,
15,1,,,,,Teamwork,,Teamwork,,,,,
15,1,1,,,,Effective communication,,Teamwork,,Evaluate,,"involves clear articulation of goals, active listening, constructive feedback, transparency, conflict resolution, and adapting communication styles",
15,1,2,,,,"Common causes of team conflict, and approaches for conflict resolution",,Teamwork,,Evaluate,,"include poor communication and conflicting goals, with resolution approaches involving communication and compromise.",
15,1,3,,,,Cooperative programming,,Teamwork,,Evaluate,,"Pair programming, Code review",
15,1,4,,,,Roles and responsibilities in a software team,,Teamwork,,Evaluate,,"Advantages of teamwork, Risks and complexity of such collaboration",
15,1,5,,,,Team processes,,Teamwork,,Evaluate,,"Responsibilities for tasks, effort estimation, meeting structure, work schedule ",
15,1,6,,,,Importance of team diversity,,Teamwork,,Evaluate,,"is crucial for bringing different perspectives and skills to the table, enhancing problem-solving and creativity.",
15,1,7,,,,"Interfacing with stakeholders, as a team",,Teamwork,,Explain,,"Management & other non-technical teams, Customers, Users",
15,1,8,,,,Risks ,,Teamwork,,Explain,,"associated with physical, distributed, hybrid and virtual teams",
15,2,,,,,Tools and Environments,,Tools and Environments,,,,,
15,2,1,,,,Software configuration management and version control,,Tools and Environments,,Evaluate,,"are essential for tracking changes, managing codebase versions, and ensuring collaboration among team members.",
15,2,2,,,,Release management,,Tools and Environments,,Explain,,"involves planning, scheduling, and deploying software updates or new versions efficiently and reliably.",
15,2,3,,,,Testing tools including static and dynamic analysis tools,,Tools and Environments,,Explain,,"including static analysis for code quality and dynamic analysis for runtime behavior, help ensure software reliability and quality.",
15,2,4,,,,Software process automation,,Tools and Environments,,Explain,,"streamlines repetitive tasks, such as building, testing, and deployment, to improve efficiency and consistency.",
15,2,5,,,,Design and communication tools,,Tools and Environments,,Explain,,"(docs, diagrams, common forms of design diagrams like UML)",
15,2,6,,,,Tool integration concepts and mechanisms,,Tools and Environments,,Explain,,enable seamless communication and data exchange between different tools and environments used in the development process.,
15,2,7,,,,Use of modern IDE facilities ,,Tools and Environments,,Explain,,"debugging, refactoring, searching/indexing, etc.",
15,3,,,,,Product Requirements ,,Product Requirements ,,Apply,,,
15,3,1,,,,Describe functional requirements,,Product Requirements ,,Apply,,"for example, use cases or user stories",
15,3,2,,,,Properties of requirements ,,Product Requirements ,,Apply,,"(docs, diagrams, common forms of design diagrams like UML)",
15,3,3,,,,Requirements elicitation,,Product Requirements ,,Apply,,is the process of gathering and defining the needs and expectations of stakeholders for a software system.,
15,3,4,,,,Non-functional requirements,,Product Requirements ,,Apply,,"for example, security, usability, or performance (aka Quality Attributes) ",
15,3,6,,,,Risk identification and management,,Product Requirements ,,Apply,,involves identifying and prioritizing potential project risks,
15,3,7,,,,Communicating and/or formalizing requirement specifications,,Product Requirements ,,Apply,,entails documenting and sharing the functional and non-functional needs of the project with stakeholders and the development team.,
15,4,,,,,Software Design,,Software Design,,,,,
15,4,1,,,,System design principles,,Software Design,,Explain,,Levels of abstraction (e.g. architectural design and detailed design); Separation of concerns; Information hiding; Coupling and cohesion ,
15,4,2,,,,Softwive architecture,,Software Design,,Explain,,"Design paradigms; Standard architectures (e.g. client-server, n-layer, pipes-and-filters, Model View Controller) ; Identifying component boundaries and dependencies",
15,4,3,,,,Programming in the large vs.programming in the small,,Software Design,,Explain,,"Programming in the large deals with designing and organizing large-scale systems and components. Programming in the small focuses on individual code quality, readability, and maintainability.",
15,4,4,,,,"Code smells and other indications of code quality, distinct from correctness.",,Software Design,,Explain,,"help identify aspects of code quality beyond mere correctness, such as readability, maintainability, and scalability.",
15,4,5,,,,APl design principles,,Software Design,,Apply,,"Consistency, Composability, Documenting contracts, Expandability, Error reporting",
15,4,6,,,,Identifying and codifying data invariants and time invariants,,Software Design,,Apply,,ensures consistency and integrity of data and system behavior over time.,
15,4,7,,,,Structural and behavioral models of software designs,,Software Design,,Apply,,"Structural models depict the static aspects of software design, such as class diagrams or entity-relationship diagrams. Behavioral models represent the dynamic aspects of software",
15,4,8,,,,Data design,,Software Design,,Apply,,"Data structures, Storage systems, Cross reference Information Management, particularly IM/Data Modeling",
15,4,9,,,,Requirement traceability,,Software Design,,Apply,,Understanding which requirements are satisfied by a design,
15,5,,,,,Software Construction,,Software Construction,,Apply,,,
15,5,1,,,,Practical small-scale testing,,Software Construction,,Apply,,"Unit testing ,Test-driven developmen",
15,5,2,,,,Documentation,,Software Construction,,Apply,,"Interface documentation, Implementation documentation",
