courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
21,,,,,-,Compiler Construction,-,Course,-,Understand,-,,-
21,0,,,,-,Objective,-,Course objective,-,Understand,-,,-
21,0,1,,,-,Obj1,-,Course objective,-,Understand,-,To develop a profound understanding about the inner workings of compilers.,-
21,0,2,,,-,Obj2,-,Course objective,-,Understand,-,To develop the ability to design and implement compilers for varying purposes.,-
21,1,,,,-,Introduction,-,Introduction,-,Understand,-,,-
21,1,1,,,-,Compiler Introduction,-,Introduction,-,Understand,-,Compiler Introduction: A compiler is a program that translates source code written in a high-level programming language into machine code that a computer can execute.,-
21,1,2,,,-,Compiler and Interpreter,-,Introduction,-,Understand,-,"Compiler and Interpreter: While compilers translate entire source code files into machine code before execution, interpreters execute code line by line, translating and executing each line at runtime.",-
21,1,3,,,-,Just-in-Time Compilation,-,Introduction,-,Understand,-,Just-in-Time Compilation: Just-in-Time (JIT) compilation combines aspects of both compilation and interpretation.,-
21,1,4,,,-,Fundamental Principle of Compilation,-,Introduction,-,Understand,-,"Fundamental Principle of Compilation: The fundamental principle of compilation is to translate code from a high-level programming language into a lower-level representation, typically machine code or bytecode, while preserving the semantics and functionality of the original code.",-
21,1,5,,,-,Compiler Tool Chain,-,Introduction,-,Understand,-,"Compiler Tool Chain: The compiler tool chain refers to the sequence of tools involved in the compilation process, including the preprocessor, compiler, assembler, linker, and loader.",-
21,1,6,,,-,Compiler: The User’s View,-,Introduction,-,Understand,-,"Compiler: The User’s View: From the user's perspective, a compiler is a software tool that takes source code written in a high-level programming language, such as C, C++, or Java, and translates it into executable machine code.",-
21,2,,,,-,Compiler Structure,-,Compiler Structure,-,Understand,-,,-
21,2,1,,,-,Basic Compiler Structure,-,Compiler Structure,-,Understand,-,,-
21,2,1,1,,-,Front end,-,Compiler Structure,-,Understand,-,"Front end: The front end of a compiler is responsible for analyzing and processing the source code. It includes components like lexical analysis, syntactic analysis, and semantic analysis.",-
21,2,1,2,,-,Back end,-,Compiler Structure,-,Understand,-,Back end: The back end of a compiler generates target code or intermediate code based on the analyzed source code. It involves tasks such as code optimization and code generation.,-
21,2,2,,,-,Advanced Compiler Structure,-,Compiler Structure,-,Understand,-,,-
21,2,2,1,,-,Front end,-,Compiler Structure,-,Understand,-,,-
21,2,2,1,1,-,Lexicographic analysis:Scanner,-,Compiler Structure,-,Understand,-,Lexicographic analysis (Scanner): The scanner reads the input source code character by character and converts it into tokens or lexemes.,-
21,2,2,1,2,-,Syntactic analysis:Parser,-,Compiler Structure,-,Understand,-,Syntactic analysis (Parser): The parser analyzes the structure of the source code based on the grammar rules of the programming language.,-
21,2,2,1,3,-,Semantic analysis,-,Compiler Structure,-,Understand,-,Semantic analysis: The semantic analyzer performs type checking and ensures that the source code follows the language's semantic rules.,-
21,2,2,2,,-,Optimiser (Middle end),-,Compiler Structure,-,Understand,-,"Optimiser (Middle end): The optimizer optimizes the intermediate code generated by the front end. It includes prologue optimizations, cycle optimizations, and epilogue optimizations.",-
21,2,2,2,1,-,Prologue optimisations:,-,Compiler Structure,-,Understand,-,Prologue optimizations: Optimizations applied at the beginning of a function or subroutine.,-
21,2,2,2,2,-,Cycle optimisations:,-,Compiler Structure,-,Understand,-,Cycle optimizations: Optimizations aimed at reducing the number of machine instructions or cycles required to execute code.,-
21,2,2,2,3,-,Epilogue optimisations:,-,Compiler Structure,-,Understand,-,Epilogue optimizations: Optimizations applied at the end of a function or subroutine.,-
21,2,2,3,,-,Back end,-,Compiler Structure,-,Understand,-,,-
21,2,2,3,1,-,Instruction selector:,-,Compiler Structure,-,Understand,-,Instruction selector: Selects the instructions from the instruction set architecture (ISA) that best match the intermediate code.,-
21,2,2,3,2,-,Register allocator：,-,Compiler Structure,-,Understand,-,Register allocator: Allocates physical registers to variables and ensures efficient use of available registers.,-
21,2,2,3,3,-,Instruction scheduler：,-,Compiler Structure,-,Understand,-,Instruction scheduler: Reorders instructions to optimize execution time or resource utilization on the target architecture.,-
21,3,,,,-,Lexicographical Analysis,-,Lexicographical Analysis,-,Understand,-,,-
21,3,1,,,-,Finite Automata,-,Lexicographical Analysis,-,Understand,-,,-
