courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
11,,,,,-,Modern Databases,-,Course,-,,-,,-
11,0,,,,-,Objective,-,Course objective,-,,-,,-
11,0,1,,,-,Obj1,-,Course objective,-,Remembering,-,Introduction to the fundamental principles for data management,-
11,0,2,,,-,Obj2,-,Course objective,-,Analyzing,-,Apply basic concepts for database design and implementation,-
11,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,"Introduction to different types of databases (relational, NoSQL, Graph)",-
11,1,,,,-,Relational Model & Algebra,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,1,,,-,Relational Model,-,Relational Model & Algebra,-,Understanding,-,A database model based on the concept of relations (tables) consisting of rows (tuples) and columns (attributes),-
11,1,1,1,,-,Schema,-,Relational Model & Algebra,-,Understanding,-,"The structure or blueprint of a database, defining the organization of data elements, their relationships, and constraints.",
11,1,1,2,,-,NULL values,-,Relational Model & Algebra,-,Understanding,-,Placeholder values in a database representing missing or undefined data for a particular attribute in a tuple.,-
11,1,2,,,-,Constraints,-,Relational Model & Algebra,-,Understanding,-,"Rules or conditions imposed on data to ensure its integrity and validity, including primary key, foreign key, unique, not null, and check constraints.",-
11,1,2,1,,-,Key,-,Relational Model & Algebra,-,Understanding,-,"An attribute or combination of attributes that uniquely identifies each tuple in a relation, such as a primary key or candidate key.",-
11,1,2,2,,-,Foreign Key,-,Relational Model & Algebra,-,Understanding,-,"An attribute or set of attributes in a relation that refers to the primary key of another relation, establishing a relationship between the two relations.",-
11,1,3,,,-,Relational Algebra,-,Relational Model & Algebra,-,Understanding,-,"A formal language for querying and manipulating data in relational databases, consisting of a set of operators for performing operations like selection, projection, joins, and set operations.",
11,1,3,1,,-,Selection,-,Relational Model & Algebra,-,Understanding,-,Operation that retrieves tuples from a relation based on a specified condition or predicate.,
11,1,3,2,,-,Projection,-,Relational Model & Algebra,-,Understanding,-,Operation that retrieves specific attributes (columns) from a relation while discarding others.,
11,1,3,3,,-,Joins,-,Relational Model & Algebra,-,Understanding,-,"Operation that combines tuples from two or more relations based on a common attribute or condition, such as inner join, outer join, and cross join.",-
11,1,3,4,,-,Set Operations,-,Relational Model & Algebra,-,Understanding,-,"Operations such as union, intersection, and difference that manipulate sets of tuples to perform operations across relations.",
11,2,,,,-,Entity/Relationship Models,-,Entity/Relationship Models,-,Understanding,-,,-
11,2,1,,,-,E/R Model,-,Entity/Relationship Models,-,Understanding,-,"A conceptual modeling technique used to represent the entities, attributes, and relationships within a domain.",
11,2,1,1,,-,Entities,-,Entity/Relationship Models,-,Understanding,-,"Objects or concepts in the real world that are represented in the database, each identified by a unique key. Examples include a person, place, event, or object.",
11,2,1,2,,-,Attributes,-,Entity/Relationship Models,-,Understanding,-,Properties or characteristics of entities that describe them. Attributes have values associated with them.,
11,2,1,3,,-,Relationships,-,Entity/Relationship Models,-,Understanding,-,Associations between entities that represent connections or interactions.,-
11,2,1,3,1,-,Roles,-,Entity/Relationship Models,-,Understanding,-,Roles define the participation of an entity in a relationship.,
11,2,1,3,2,-,Cardinalities,-,Entity/Relationship Models,-,Understanding,-,Cardinality constraints specify the number of instances of one entity that can be associated with the number of instances of another entity in a relationship.,
11,2,1,3,3,-,Attributes,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,4,,-,Weak Entities,-,Entity/Relationship Models,-,Understanding,-,Entities that do not have a primary key attribute and depend on the existence of another entity (owner entity) for identification.,
11,2,1,5,,-,Inheritance,-,Entity/Relationship Models,-,Understanding,-,Inheritance allows entities to inherit attributes and relationships from another entity.,
