courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
6,,,,,-,Programming Languages,-,Course,-,Understanding,-,,-
6,0,,,,-,Objective,-,Course objective,-,Understanding,-,,-
6,0,1,,,-,Obj1,-,Course objective,-,Understanding,-,writing idiomatic computer programs in the programming languages ​​discussed,-
6,0,2,,,-,Obj2,-,Course objective,-,Understanding,-,compare the programming languages ​​covered based on concepts and paradigms,-
6,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,weigh the pros and cons of choosing a programming language in general and to solve a specific problem,-
6,0,4,,,-,Obj4,-,Course objective,-,Understanding,-,apply information from manuals and documentation about programming languages,-
6,1,,,,-,"Programming Languages, Paradigms, and Environments",-,"Programming Languages, Paradigms, and Environments",-,Understanding,-,,-
6,1,1,,,-,Programming languages,-,"Programming Languages, Paradigms, and Environments",-,Understanding,-,"Programming Languages: High-level languages (Python, Java), Low-level languages (Assembly), Scripting languages (Perl, Ruby), Domain-specific languages (SQL, HTML).",-
6,1,2,,,-,Programming Paradigms,-,"Programming Languages, Paradigms, and Environments",-,Understanding,-,"Programming Paradigms: Imperative (C, Pascal), Declarative (Functional, Logic), Object-Oriented (Java, C++), Procedural (C, Fortran).",-
6,1,3,,,-,Programming environments,-,"Programming Languages, Paradigms, and Environments",-,Understanding,-,"Programming Environments: Integrated Development Environments (IDEs), Text Editors, Notebook Environments (Jupyter), Web-based Development Environments (CodePen).",-
6,2,,,,-,Python,-,Python,-,Understanding,-,"Python: High-level, interpreted, general-purpose programming language.",-
6,2,1,,,-,Programming Paradigm,-,Python,-,Understanding,-,"Programming Paradigm: Multi-paradigm, supporting object-oriented, imperative, functional, and procedural programming.",-
6,2,2,,,-,Fundamental Types,-,Python,-,Understanding,-,"Fundamental Types: Integers, floats, strings, booleans, lists, tuples, dictionaries, sets.",-
6,2,3,,,-,The Type System,-,Python,-,Understanding,-,"The Type System: Dynamic typing, strong typing.",-
6,2,4,,,-,Flow Control,-,Python,-,Understanding,-,"Flow Control: if-else statements, loops (for, while).",-
6,2,5,,,-,Compound Data Types,-,Python,-,Understanding,-,"Compound Data Types: Lists, tuples, dictionaries, sets.",-
6,2,6,,,-,Strings,-,Python,-,Understanding,-,"Strings: Immutable sequences of characters, supporting a wide range of string manipulation operations.",-
6,2,7,,,-,Exceptions,-,Python,-,Understanding,-,Exceptions: Mechanism for handling errors and exceptional situations in Python code.,-
6,2,8,,,-,Object-Oriented Programming,-,Python,-,Understanding,-,"Object-Oriented Programming: Classes, objects, inheritance, encapsulation, polymorphism.",-
6,2,9,,,-,Memory Model,-,Python,-,Understanding,-,"Memory Model: Garbage collection, reference counting.",-
6,2,10,,,-,Iteratie of Recursie,-,Python,-,Understanding,-,Iteratie of Recursie: Iteration (for loops) and recursion (calling functions within themselves) are common control flow mechanisms.,-
6,2,11,,,-,Higher Order Functions,-,Python,-,Understanding,-,Higher Order Functions: Functions that can accept other functions as arguments or return functions as results.,-
6,2,12,,,-,Iterable,-,Python,-,Understanding,-,Iterable: Objects that can be iterated over using loops or comprehension expressions.,-
6,2,13,,,-,Generator,-,Python,-,Understanding,-,"Generator: Functions that return iterators, allowing lazy evaluation of values.",-
6,3,,,,-,C++,-,C++,-,Understanding,-,,-
6,3,1,,,-,History,-,C++,-,Understanding,-,History: Developed by Bjarne Stroustrup in 1983 as an extension of the C programming language.,-
