courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
5,,,,,-,Web Technology,-,Course,-,Understanding,-,,-
5,0,,,,-,Objective,-,Course objective,-,Understanding,-,,-
5,0,1,,,-,Obj1,-,Course objective,-,Understanding,-,"Can construct a non-trivial interactive website based on HTML/CSS, PHP, Javascript and a relational database",-
5,0,2,,,-,Obj2,-,Course objective,-,Understanding,-,Can create a relational database and design SQL queries collect and annotate external ones data or information through the use of web APl and web scraping,-
5,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,Secure website and control user access to website and services build a user-oriented and community-oriented website,-
5,0,4,,,-,Obj4,-,Course objective,-,Understanding,-,The student knows how project groups function and can reflect on their own performance within a project group,-
5,0,5,,,-,Obj5,-,Course objective,-,Understanding,-,,-
5,1,,,,-,World Wide Web basics,-,World Wide Web basics,-,Understanding,-,,-
5,1,1,,,-,"URL, URI,URN",-,World Wide Web basics,-,Understanding,-,,-
5,1,2,,,-,HTTP and other protocols,-,World Wide Web basics,-,Understanding,-,"HTTP, HTTPS, FTP, SMTP",-
5,1,3,,,-,DNS and domain names,-,World Wide Web basics,-,Understanding,-,"DNS (Domain Name System): A hierarchical decentralized naming system for computers, services, or any resource connected to the internet or a private network. Domain names: Human-readable names used to identify websites and other resources on the internet, typically consisting of a series of labels separated by dots.",-
5,1,4,,,-,IP addresses and network devices,-,World Wide Web basics,-,Understanding,-,"IP addresses: Numeric labels assigned to devices connected to a computer network that uses the Internet Protocol for communication. Network devices: Hardware devices such as routers, switches, and modems that facilitate communication between devices on a computer network.",-
5,2,,,,-,"HTML, CSS, JavaScript,Relational Data Model",-,"HTML, CSS, JavaScript,Relational Data Model",-,Understanding,-,,-
5,2,1,,,-,HTML and Document Object Mece （DOM）,-,"HTML, CSS, JavaScript,Relational Data Model",-,Understanding,-,HTML (Hypertext Markup Language): A markup language used for creating the structure and content of web pages. DOM (Document Object Model): A programming interface for web documents that represents the structure of HTML and XML documents as a tree-like structure,-
5,2,2,,,-,Cascaded Style Sheets （CSS）,-,"HTML, CSS, JavaScript,Relational Data Model",-,Understanding,-,"CSS (Cascading Style Sheets): A style sheet language used for describing the presentation of HTML and XML documents, including colors, layouts, and fonts.",-
5,2,3,,,-,Javascript: Introduction,-,"HTML, CSS, JavaScript,Relational Data Model",-,Understanding,-,"JavaScript: A high-level programming language used for creating interactive and dynamic content on web pages, such as animations, interactive forms, and responsive behavior.",-
5,2,4,,,-,Website data model and Relational data model,-,"HTML, CSS, JavaScript,Relational Data Model",-,Understanding,-,,-
5,3,,,,-,"SQL,DBdesign",-,"SQL,DBdesign",-,Understanding,-,,-
5,3,1,,,-,"Data Model: 1NF, 2NF, 3NF",-,"SQL,DBdesign",-,Understanding,-,"1NF (First Normal Form), 2NF (Second Normal Form), 3NF (Third Normal Form)",-
5,3,2,,,-,"Database: Building and using, MySQL",-,"SQL,DBdesign",-,Understanding,-,MySQL: A popular open-source relational database management system (RDBMS) that uses SQL for database management.,-
5,3,3,,,-,Basic SQL commands and scripting,-,"SQL,DBdesign",-,Understanding,-,,-
5,4,,,,-,"Server-side scripting, PHP",-,"Server-side scripting, PHP",-,Understanding,-,,-
5,4,1,,,-,Introduction to PHP,-,"Server-side scripting, PHP",-,Understanding,-,PHP (Hypertext Preprocessor) is a server-side scripting language used for web development.,-
5,4,2,,,-,PHP Data Object （PDO）,-,"Server-side scripting, PHP",-,Understanding,-,PDO is a PHP extension providing a uniform interface for accessing databases.,-
5,4,2,1,,-,Querying databases from web applications,-,"Server-side scripting, PHP",-,Understanding,-,"PHP can interact with databases like MySQL, PostgreSQL, SQLite, etc., to fetch, insert, update, and delete data.",-
5,4,3,,,-,PHP forms and security issues,-,"Server-side scripting, PHP",-,Understanding,-,,-
