courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,,,,,,Artificial Intelligence (AI),,,-,,,,
3,1,,,,,Fundamental Issues,,Fundamental Issues,-,Understand,,,
3,1,1,,,,"Overview of AI problems, Examples of successful recent AI applications",,Fundamental Issues,-,Understand,,"AI problems encompass tasks like natural language processing, computer vision, and machine learning.",
3,1,2,,,,"Definitions of agents with examples (e.g., reactive, deliberative)",,Fundamental Issues,-,Understand,,Agents are autonomous entities that perceive their environment and act upon it to achieve goals.,
3,1,3,,,,What is intelligent behavior?,,Fundamental Issues,-,Understand,,"Intelligent behavior involves the ability to adapt to new situations, solve problems, learn from experience, and achieve goals effectively.",
3,1,3,1,,,The Turing test and its flaws,,Fundamental Issues,-,Understand,,"The Turing test is a measure of a machine's ability to exhibit human-like intelligence in conversation. Its flaws include the inability to assess all aspects of intelligence, such as creativity and emotional understanding, and the potential for deception by machines through narrow task-specific intelligence.",
3,1,3,2,,,Multimodal input and output,,Fundamental Issues,-,Understand,,"Multimodal input refers to the use of multiple sensory channels (e.g., text, speech, image) for interaction with AI systems. Multimodal output involves presenting information or responses through various modalities (e.g., text, speech, graphics) to enhance user experience and accessibility.",
3,1,3,3,,,Simulation of intelligent behavior,,Fundamental Issues,-,Understand,,"Simulation of intelligent behavior involves creating models or systems that mimic aspects of human intelligence, such as problem-solving, decision-making, and learning. I",
3,1,3,4,,,Rational versus non-rational reasoning,,Fundamental Issues,-,Understand,,"Rational reasoning involves making decisions that maximize expected utility or achieve predefined goals based on available information. Non-rational reasoning may involve heuristics, biases, or instinctive behaviors that do not always lead to optimal outcomes, as observed in human decision-making.",
3,1,4,,,,Problem characteristics,,Fundamental Issues,-,Evaluate,,,
3,1,4,1,,,Fully versus partially observable,,Fundamental Issues,-,Evaluate,,"Fully observable problems are those where all relevant information about the current state is available to the agent. Partially observable problems are those where only a limited amount of information is available, making it necessary for the agent to maintain beliefs about the state based on available observations.",
3,1,4,2,,,Single versus multi-agent,,Fundamental Issues,-,Evaluate,,"Single-agent problems involve a single autonomous entity making decisions in an environment. Multi-agent problems involve multiple autonomous entities interacting with each other and the environment, often with conflicting goals or cooperative behavior.",
3,1,4,3,,,Deterministic versus stochastic,,Fundamental Issues,-,Evaluate,,"Deterministic problems have outcomes that are entirely determined by the initial state and the actions taken. Stochastic problems involve uncertainty or randomness in the outcomes, where the same action in the same state may lead to different outcomes.",
3,1,4,4,,,Static versus dynamic,,Fundamental Issues,-,Evaluate,,"Static problems have fixed environments where the state does not change while the agent is deliberating. Dynamic problems involve environments that change over time, requiring the agent to continuously adapt its decisions in response to these changes.",
3,1,4,5,,,Discrete versus continuous,,Fundamental Issues,-,Evaluate,,"Discrete problems have a finite or countably infinite set of possible states, actions, or outcomes. Continuous problems involve an infinite set of possible states, actions, or outcomes, often requiring numerical methods for representation and solution.",
3,1,5,,,,Nature of agents,,Fundamental Issues,-,Evaluate,,,
3,1,5,1,,,"Autonomous, semi-autonomous, mixed-initiative autonomy",,Fundamental Issues,-,Evaluate,,"Agents can range from fully autonomous, making decisions independently, to semi-autonomous, requiring some human intervention, to mixed-initiative autonomy, where both the agent and human collaboratively make decisions.",
3,1,5,2,,,"Reflexive, goal-based, and utillity-based",,Fundamental Issues,-,Evaluate,,"Agents can exhibit different behavior paradigms, including reflexive (reactive), where actions are based on immediate sensory input; goal-based, where actions are directed towards achieving specific objectives; and utility-based, where decisions are made to maximize overall utility or satisfaction.",
3,1,5,3,,,Decision making under uncertainty and with incomplete information,,Fundamental Issues,-,Evaluate,,"Agents often operate in environments with uncertain outcomes and incomplete information, requiring them to make decisions based on probabilistic reasoning and inference.",
3,1,5,4,,,The importance of perception and environmental interactions,,Fundamental Issues,-,Evaluate,,"Agents rely on perception mechanisms to sense and interpret their environment, and their actions are influenced by interactions with the environment and other agents.",
3,1,5,5,,,Learning-based agents,,Fundamental Issues,-,Evaluate,,"Agents can learn from past experiences and adapt their behavior over time, utilizing machine learning techniques such as reinforcement learning or supervised learning.",
3,1,5,6,,,"Embodied agents(sensors, dynamics, effectors)",,Fundamental Issues,-,Evaluate,,"These agents are situated within a physical or virtual environment and interact with it through sensors and actuators, enabling them to perceive and act upon their surroundings.",
3,1,6,,,,"AI Applications, growth, and Impact (economic, societal, ethics) ",,Fundamental Issues,-,Understand,,"AI has witnessed significant growth and impact across various domains, including economics (automation of tasks, productivity gains), society (improved healthcare, transportation, communication), and ethics (concerns about job displacement, bias in algorithms, privacy issues).",
3,1,7,,,,Additional depth on problem characteristics with examples,,Fundamental Issues,-,Evaluate,,"Problems in AI exhibit various characteristics such as full versus partial observability, single versus multi-agent environments, deterministic versus stochastic outcomes, and static versus dynamic environments, each influencing the choice of algorithms and approaches.",
3,1,8,,,,Additional depth on nature of agents with examples,,Fundamental Issues,-,Evaluate,,"Agents can be further classified based on their adaptability, social intelligence, and cognitive capabilities, with examples including virtual assistants, autonomous vehicles, and recommendation systems.",
3,1,9,,,,"Additional depth on AI Applications, growth, and Impact (economic, societal, ethics)",,Fundamental Issues,-,Evaluate,,"AI applications extend beyond traditional domains into areas like environmental conservation, disaster response, and personalized education, raising questions about fairness, accountability, and transparency in AI systems.",
3,2,,,,,Search,,Search,-,,,,
3,2,1,,,,State space representation of a problem,,Search,-,Understand,,"Problems are represented using states, goals, and operators, defining the initial and desired states and the actions that transition between states.",
3,2,1,1,,,"Specifying states, goals, and operators",,Search,-,Understand,,,
3,2,1,2,,,Factoring states intrepresentations (hypothesis spaces),,Search,-,Understand,,"States are often factored into representations to simplify problem-solving, creating a hypothesis space of possible solutions.",
3,2,1,3,,,Problem solving by graph search,,Search,-,Understand,,"e.g., Graphs as a space, and tree traversals as exploration of that space; Dynamic construction of the graph",
3,2,2,,,,Uninformed graph search for problem solving,,Search,-,Create,,,
3,2,2,1,,,Breadth-first search,,Search,-,Create,,"Breadth-First Search (BFS): Explores the search graph level by level, expanding all nodes at each level before moving to the next level, ensuring the shortest path to the goal is found.",
3,2,2,2,,,Depth-first search(With iterative deepening),,Search,-,Create,,"Depth-First Search (DFS): Explores the search graph by going as deep as possible along each branch before backtracking, potentially getting stuck in deep branches and not guaranteeing optimality.",
3,2,2,3,,,Uniform cost search,,Search,-,Create,,"Uniform Cost Search: Expands the node with the lowest path cost, ensuring optimality in finding the lowest-cost path to the goal, similar to BFS but considering path cost instead of depth.",
3,2,3,,,,Heuristic graph search for problem solving,,Search,-,Create,,"Heuristic Graph Search for Problem Solving: Utilizes domain-specific heuristics to guide the search process towards the goal state more efficiently, often used when the search space is too large for uninformed search methods.",
3,2,3,1,,,Heuristic construction and admissibility ,,Search,-,Create,,"Heuristic Construction and Admissibility: Heuristics are designed to estimate the cost or distance from a given state to the goal state while adhering to admissibility, ensuring that the heuristic never overestimates the true cost.",
3,2,3,2,,,Hill-climbing,,Search,-,Create,,"Hill-Climbing: An iterative search algorithm that continuously moves towards the direction of increasing heuristic value, potentially getting stuck in local optima due to its greedy nature.",
3,2,3,3,,,Local minima and the search landscape(Local vs global solutions),,Search,-,Create,," Local minima are states where no neighboring states have lower heuristic values, potentially trapping hill-climbing algorithms. Global solutions are optimal solutions found by considering the entire search space.",
3,2,3,4,,,Greedy best-first search,,Search,-,Create,,"Expands nodes based on their heuristic values alone, always choosing the node that appears to be closest to the goal without considering the cost of the path to reach that node.",
3,2,3,5,,,A* search,,Search,-,Create,," A combination of uniform cost search and greedy best-first search, evaluates nodes based on both the cost of the path from the start node and the estimated cost to the goal",
3,2,4,,,,Space and time complexities of graph search algorithms,,Search,-,Evaluate,,"The space complexity refers to the amount of memory required by the algorithm, while the time complexity measures the computational resources required, typically expressed in terms of the number of nodes expanded or visited.",
