courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
13,,,,,-,Distributed and parallel programming,-,Course,-,,-,,-
13,0,,,,-,Objective,-,Course objective,-,,-,,-
13,0,1,,,-,Obj1,-,Course objective,-,Understand,-,"Explain and describe the taxonomy of parallel and distributed systems, and the role and functionality of the different components that appear in these computing systems.",-
13,0,2,,,-,Obj2,-,Course objective,-,Apply,-,"Program small-scale applications using the main concepts of parallel processing and programming models of Pthreads, OpenMP, CUDA, and MPI.",-
13,0,3,,,-,Obj3,-,Course objective,-,Understand,-,Explain and describe basic programming models for parallel and distributed computing systems.,-
13,0,4,,,-,Obj4,-,Course objective,-,Apply,-,Get familiar with the programming models of cloud and decentralized systems.,-
13,0,5,,,-,Obj5,-,Course objective,-,Analyze,-,Analyze the performance results of parallel and distributed systems and evaluate their results.,-
13,0,6,,,-,Obj6,-,Course objective,-,Analyze,-,Conduct a literature study on a selected topic of parallel and distributed architecture.,-
13,1,,,,-,Parallel and distributed system introduction,-,Parallel and concurrency introduction,-,Understand,-,An overview of computing systems that involve multiple processors or computers working together to solve a problem.,-
13,1,1,,,-,Computing_system_terminology,-,Parallel and concurrency introduction,-,Understand,-,"Key terms and concepts related to computing systems, such as processors, memory, storage, and networking.",-
13,1,2,,,-,Why_parallel_computing?,-,Parallel and concurrency introduction,-,Understand,-,"Exploring the motivations behind parallel computing, including the need for increased computational power and efficiency.",-
13,1,2,1,,-,Moore's_law,-,Parallel and concurrency introduction,-,Understand,-,"The observation that the number of transistors on a microchip doubles approximately every two years, leading to exponential growth in computing power.",-
13,1,2,2,,-,Power_wall,-,Parallel and concurrency introduction,-,Understand,-,"The limit on the amount of power that can be dissipated by a microprocessor, which poses a challenge to further increasing clock speeds and performance.",-
13,1,2,3,,-,Dennard_Scaling,-,Parallel and concurrency introduction,-,Understand,-,"The principle that as transistors shrink in size, their power density remains constant, allowing for increased performance without a significant increase in power ",-
13,1,3,,,-,Performance_and_speedup,-,Parallel and concurrency introduction,-,Understand,-,"Measurement of how well a system performs a task, often quantified by the speedup achieved compared to a reference system or baseline.",-
13,1,3,1,,-,Hardware_metrics,-,Parallel and concurrency introduction,-,Understand,-,"Metrics, e.g., latency, throughput, speed up, scaling",-
13,1,3,2,,-,Scaling_and_scaling_law,-,Parallel and concurrency introduction,-,Apply,-,The study of how system performance changes as the size of the system (such as the number of processors) increases,-
13,1,3,2,1,-,Amdahl's_law,-,Parallel and concurrency introduction,-,Apply,-,A formula that predicts the maximum speedup that can be achieved by parallelizing a computation,-
13,1,3,2,2,-,Gustafson’s_law,-,Parallel and concurrency introduction,-,Apply,-,"A complementary principle to Amdahl's Law, which argues that larger problems can often be parallelized more effectively",-
13,1,3,3,,-,Efficiency,-,Parallel and concurrency introduction,-,Apply,-,The ratio of useful work performed by a system to the total energy expended or resources consumed,-
13,1,4,,,-,Parallel_Architecture,-,Parallel and concurrency introduction,-,Understand,-,"The design and organization of hardware systems that support parallel processing, involving multiple processors or processing units.",-
