courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
4,,,,,-,Data Structures,-,Course,-,Understand,-,,-
4,0,,,,-,Objective,-,Course objective,-,Understand,-,,-
4,0,1,,,-,Obj1,-,Course objective,-,Understand,-,Implementing fundamental data structures and algorithms in C,-
4,0,2,,,-,Obj2,-,Course objective,-,Understand,-,Analyzing the resource usage of an algorithm with big O notation,-
4,0,3,,,-,Obj3,-,Course objective,-,Understand,-,"Know the difference between worst case, best case, upper bound and lower bound",-
4,0,4,,,-,Obj4,-,Course objective,-,Understand,-,Explain how a data structure is stored in memory,-
4,1,,,,,Data Structures Introduction,-,Data Structures Introduction,-,Understand,-,Data Structures Introduction: Fundamentals of organizing and storing data efficiently.,-
4,1,1,,,,ADT: STACK,-,Data Structures Introduction,-,Understand,-,"ADT: STACK: Abstract Data Type representing a collection of elements with Last In, First Out (LIFO) access.",-
4,1,2,,,,ADT: QUEUE,-,Data Structures Introduction,-,Understand,-,"ADT: QUEUE: Abstract Data Type representing a collection of elements with First In, First Out (FIFO) access.",-
4,1,3,,,,DS: ARRAY,-,Data Structures Introduction,-,Understand,-,DS: ARRAY: Data Structure storing elements in contiguous memory locations with constant-time access to elements using indices.,-
4,2,,,,,Searching And Lists,-,Searching And Lists,-,Understand,-,Searching And Lists: Techniques for searching data efficiently and organizing data in lists.,-
4,2,1,,,,ALG: Search algorithms,-,Searching And Lists,-,Understand,-,"ALG: Search algorithms: Various algorithms for searching data including linear search, binary search, and more.",-
4,2,2,,,,DS: Dynamic array,,Searching And Lists,,Understand,,DS: Dynamic array: Data Structure similar to an array but with the ability to resize dynamically as needed.,
4,2,3,,,,Searching And Lists,,Searching And Lists,,Understand,,"DS: Linked list: Data Structure where elements are stored in nodes, each containing a reference to the next node in the sequence.",
4,2,4,,,,Measuring performance,-,Searching And Lists,-,Understand,-,Measuring performance: Methods for evaluating the efficiency and effectiveness of algorithms and data structures.,-
4,3,,,,,Analysing Performance,,Analysing Performance,,Understand,,Analysing Performance: Techniques for analyzing the performance of algorithms and data structures under various conditions.,
4,3,1,,,,Simplifying With Bounds,,Analysing Performance,,Understand,,Simplifying With Bounds: Using upper and lower bounds to simplify the analysis of algorithms and data structures.,
4,3,2,,,,Sets And Maps,,Analysing Performance,,Understand,,Sets And Maps: Fundamental data structures for storing unique elements (sets) and key-value pairs (maps).,
4,3,3,,,,A Naive Set Implementation,-,Analysing Performance,-,Understand,-,A Naive Set Implementation: Basic implementation of a set data structure without optimization or sophisticated features.,-
4,4,,,,,Efficient Sets,-,Efficient Sets,-,Understand,-,Efficient Sets: Data structures optimized for efficient storage and retrieval of unique elements.,-
4,4,1,,,,ALG: BINARY SEARCH,,Efficient Sets,,Understand,,ALG: BINARY SEARCH: Algorithm for searching sorted data by repeatedly dividing the search interval in half.,
4,4,2,,,,Better Sets And Maps With Hash Tables,,Efficient Sets,,Understand,,"Better Sets And Maps With Hash Tables: Data structures utilizing hash tables to achieve efficient insertion, deletion, and retrieval operations for sets and maps.",
4,5,,,,,Algorithmic Bounds and Tree,,Algorithmic Bounds and Tree,,Understand,,,
