courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
2,,,,,-,Introduction to Programming,-,Course,-,,-,,-
2,0,,,,-,Objective,-,Course objective,-,,-,,-
2,0,1,,,-,Obj1,-,Course objective,-,Analyze,-,Analyze a computational problem and divide it into manageable pieces,-
2,0,2,,,-,Obj2,-,Course objective,-,Create,-,Implement solutions in the C programming language,-
2,0,3,,,-,Obj3,-,Course objective,-,Apply,-,Write readable C code,-
2,0,4,,,-,Obj5,-,Course objective,-,Apply,-,Being able to work with pointers; understanding of stack and heap,-
2,0,5,,,-,Obj7,-,Course objective,-,Apply,-,Detect and correct errors in programs,-
2,0,6,,,-,Obj8,-,Course objective,-,Understand,-,Read code specifications and implement them precisely,-
2,0,7,,,-,Obj9,-,Course objective,-,Apply,-,Using online and offline reference material,-
2,0,8,,,-,Obj11,-,Course objective,-,Analyze,-,Knowing and being able to apply design principles,-
2,1,,,,-,C introduction,-,C introduction,-,Understand,-,"C introduction: C is a general-purpose, procedural programming language developed by Dennis Ritchie at Bell Labs in the early 1970s.",-
2,1,1,,,-,gcc,-,C introduction,-,Understand,-,"gcc: GNU Compiler Collection (gcc) is a suite of compilers for various programming languages, including C, C++, and Fortran.",-
2,1,2,,,-,Types,-,C introduction,-,Understand,-,"Types: C supports various data types, including integers, floating-point numbers, characters, and pointers, among others.",-
2,1,3,,,-,Variable,-,C introduction,-,Understand,-,"Variable: In C, variables are used to store data values.",-
2,1,4,,,-,Branch,-,C introduction,-,Understand,-,"Branch: Branching statements in C, such as if-else and switch-case, allow programmers to control the flow of execution based on certain conditions or values.",-
2,1,5,,,-,Loop,-,C introduction,-,Understand,-,"Loop: Loops in C, such as for, while, and do-while, enable repeated execution of a block of code until a specified condition is met. ",-
2,2,,,,-,Basic ingredients,-,Basic ingredients,-,Understand,-,"Basic ingredients: In C programming, the basic ingredients include variables, data types, operators, control structures, and functions, which are used to create programs.",-
2,2,1,,,-,Type conversion,-,Basic ingredients,-,Understand,-,Type conversion: Type conversion in C refers to the process of converting one data type into another.,-
2,2,2,,,-,Expression,-,Basic ingredients,-,Understand,-,"Expression: An expression in C is a combination of variables, constants, operators, and function calls that evaluates to a single value. ",-
2,2,3,,,-,Numerical operation,-,Basic ingredients,-,Understand,-,"Numerical operation: Numerical operations in C include arithmetic operations (addition, subtraction, multiplication, division), bitwise operations (AND, OR, XOR), and relational operations (equal to, not equal to, greater than, less than), among others. ",-
2,3,,,,-,CFunction,-,CFunction,-,Understand,-,"Function: In C, a function is a block of code that performs a specific task. It has a name, a return type, parameters (optional), and a body.",-
2,3,1,,,-,scope,-,CFunction,-,Understand,-,Scope: Scope refers to the visibility and accessibility of variables within a program. ,-
2,3,2,,,-,lifecycle,-,CFunction,-,Understand,-,"Lifecycle: The lifecycle of a function in C includes its declaration, definition, invocation (calling), execution, and termination. ",-
2,3,3,,,-,Control-flow,-,CFunction,-,Understand,-,"Control-flow: Control-flow refers to the order in which statements are executed in a program. In C, control-flow is managed using control structures such as if-else statements, loops (for, while, do-while), switch statements, and function calls. ",-
2,4,,,,-,Pointer,-,Pointer,-,Understand,-,Pointer: A pointer is a variable that stores the memory address of another variable. It allows indirect access to the value stored at that memory address.,-
2,4,1,,,-,Pointer variables,-,Pointer,-,Understand,-,"Pointer variables: Pointer variables are variables that store memory addresses. They are declared using the * operator, followed by the data type of the variable they are pointing to.",
2,4,2,,,-,Arrays and pointers,-,Pointer,-,Understand,-,"Arrays and pointers: In C, arrays and pointers are closely related. When an array name is used in an expression, it decays into a pointer to its first element. This allows arrays to be manipulated using pointer arithmetic.",
2,4,3,,,-,Pointers to functions,-,Pointer,-,Understand,-,Pointers to functions: Pointers can also point to functions. They enable dynamic function invocation and can be used to implement callbacks and function tables.,
2,4,4,,,-,Pointers to pointers,-,Pointer,-,Understand,-,"Pointers to pointers: Pointers can also point to other pointers. This allows for the creation of multi-level data structures such as linked lists and trees, where each node contains a pointer to another node.",
2,5,,,,-,Strings and arrays,-,Strings and arrays,-,Understand,-,,-
2,5,1,,,-,String,-,Strings and arrays,-,Understand,-,"String: In C, a string is represented as an array of characters terminated by a null character ('\0'). ",
2,5,2,,,-,Arrary,-,Strings and arrays,-,Understand,-,Array: An array in C is a collection of elements of the same data type stored in contiguous memory locations. Arrays can be one-dimensional or multi-dimensional.,-
2,5,2,1,,-,Array copy,-,Strings and arrays,-,Understand,-,"Array copy: In C, arrays cannot be directly copied using the assignment operator.",-
2,5,2,2,,-,Multi dimension array,-,Strings and arrays,-,Understand,-,A multi-dimensional array in C is an array with more than one dimension.,-
