courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
6,,,,,-,Programming Languages,-,Course,-,Understand,-,,-
6,0,,,,-,Objective,-,Course objective,-,Understand,-,,-
6,0,1,,,-,Obj1,-,Course objective,-,Understand,-,writing idiomatic computer programs in the programming languages ​​discussed,-
6,0,2,,,-,Obj2,-,Course objective,-,Understand,-,compare the programming languages ​​covered based on concepts and paradigms,-
6,0,3,,,-,Obj3,-,Course objective,-,Understand,-,weigh the pros and cons of choosing a programming language in general and to solve a specific problem,-
6,0,4,,,-,Obj4,-,Course objective,-,Understand,-,apply information from manuals and documentation about programming languages,-
6,1,,,,-,"Programming Languages, Paradigms, and Environments",-,"Programming Languages, Paradigms, and Environments",-,Understand,-,,-
6,1,1,,,-,Programming languages,-,"Programming Languages, Paradigms, and Environments",-,Understand,-,"Programming Languages: High-level languages (Python, Java), Low-level languages (Assembly), Scripting languages (Perl, Ruby), Domain-specific languages (SQL, HTML).",-
6,1,2,,,-,Programming Paradigms,-,"Programming Languages, Paradigms, and Environments",-,Understand,-,"Programming Paradigms: Imperative (C, Pascal), Declarative (Functional, Logic), Object-Oriented (Java, C++), Procedural (C, Fortran).",-
6,1,3,,,-,Programming environments,-,"Programming Languages, Paradigms, and Environments",-,Understand,-,"Programming Environments: Integrated Development Environments (IDEs), Text Editors, Notebook Environments (Jupyter), Web-based Development Environments (CodePen).",-
6,2,,,,-,Python,-,Python,-,Understand,-,"Python: High-level, interpreted, general-purpose programming language.",-
6,2,1,,,-,Programming Paradigm,-,Python,-,Understand,-,"Programming Paradigm: Multi-paradigm, supporting object-oriented, imperative, functional, and procedural programming.",-
6,2,2,,,-,Fundamental Types,-,Python,-,Understand,-,"Fundamental Types: Integers, floats, strings, booleans, lists, tuples, dictionaries, sets.",-
6,2,3,,,-,The Type System,-,Python,-,Understand,-,"The Type System: Dynamic typing, strong typing.",-
6,2,4,,,-,Flow Control,-,Python,-,Understand,-,"Flow Control: if-else statements, loops (for, while).",-
6,2,5,,,-,Compound Data Types,-,Python,-,Understand,-,"Compound Data Types: Lists, tuples, dictionaries, sets.",-
6,2,6,,,-,Strings,-,Python,-,Understand,-,"Strings: Immutable sequences of characters, supporting a wide range of string manipulation operations.",-
6,2,7,,,-,Exceptions,-,Python,-,Understand,-,Exceptions: Mechanism for handling errors and exceptional situations in Python code.,-
6,2,8,,,-,Object-Oriented Programming,-,Python,-,Understand,-,"Object-Oriented Programming: Classes, objects, inheritance, encapsulation, polymorphism.",-
6,2,9,,,-,Memory Model,-,Python,-,Understand,-,"Memory Model: Garbage collection, reference counting.",-
6,2,10,,,-,Iteratie of Recursie,-,Python,-,Understand,-,Iteratie of Recursie: Iteration (for loops) and recursion (calling functions within themselves) are common control flow mechanisms.,-
